,forum,thread_title,thread_url,author,member_status,verified_owner,joined,messages,location,cars,comment,date_published,sentiment,de number,lucid_model_name,match_score
347,Photos / Videos / Reviews,[Edmunds] TESTED: 2022 Lucid Air Grand Touring Misses EPA Range by Nearly 80 Miles,https://lucidowners.com/threads/edmunds-tested-2022-lucid-air-grand-touring-misses-epa-range-by-nearly-80-miles.4982/,whywar,Active Member,True,2022-02-17,113,"Boca Raton, Florida / Basking Ridge NJ",Grand Touring,"MY Air GT, on 21"" tires, after 5500 miles is averaging 3.0 miles/Kw.
I drive in Sprint mode as often as possible, when speed limit is 45 or higher, with a mix of city and highway driving. The best I have achieved is 3.2 mile/Kw after a 70 mile highway trip at 80 mph. I carry some extra weight, an EZ spare tire and a DC powered jack/tire change kit, at all times.",2023-03-10,5.0,,Air GT,100.0
252,User Interface,Range estimation information with 2.0.24,https://lucidowners.com/threads/range-estimation-information-with-2-0-24.3440/,davidliu,Active Member,False,2022-10-05,138,San Francisco Bay Area,Stellar White Air GT,"What tire pressure do you have. I drove between sf and la frequently on 19'' wheels. Can get between 3.5 - 3.7 for the entire trip cruising 80 - 85 mph on I-5 and 65 - 75 mph on the rest of trips. Also, Lucid measures the total battery consumption instead of just motor consumption. So, AC might play a role as well. I'm always moderate on throttles and conservative on AC.",2022-11-09,5.0,,Air GT,90.0
197,Driving Dynamics,Range question,https://lucidowners.com/threads/range-question.520/,hmp10,Active Member,True,2020-03-07,2991,"Naples, FL","Model S Plaid, Odyssey","
Exactly.

After six years of driving two Tesla Model S's, and giving Lucid credit for attaining more of its EPA range than Tesla, I use the following formula for planning road trips at realistic highway speeds (80 mph):

EPA mileage x .70 x. 80.

The .70 comes from charging the battery to 90% and planning to recharge close to 20% SOC, thus using 70% of the pack's capacity. I use these limits for several reasons. Charging that last 10% takes an inordinate amount of extra time at the charging station. Planning on a 20% margin leaves wiggle room for finding a charger at the right location; encountering suboptimal weather, terrain, and traffic conditions; and avoiding low-battery stress.

The .80 comes from two things. The 4% EPA miss that Tom Moloughney found in his 70-mph range test, and the extra 11-13% range loss that comes from the aerodynamic drag for that extra 10 mph above 70 that I usually drive on interstates and other limited-access highways.

Thus, with the Dream Performance on 21"" wheels on a long road trip:

451 miles EPA rating x .70 x .80 = 252 miles.

I view this as a worst-case range. In planning trips, it allows for over three hours of driving at 80 mph (which is more than I'd want to do without a break, anyway); gives some flexibility in choosing where to recharge; and removes worry about unforeseen events along the way.

It also means I can do our most-frequent road trip (across the state from Naples to the Miami area) there and back without any charging along the way, with plenty of room to roam the Miami area. We could only do that in our Tesla Model S Plaid by charging to 100%, driving more conservatively, and risking some nail-biting on the way home.",2022-02-14,5.0,154.0,,
520,Charging,Lucid's Tips to Optimize Range,https://lucidowners.com/threads/lucids-tips-to-optimize-range.4601/,Thinjake,Active Member,True,2022-03-15,297,,"AGT, Genesis GV80","I recently had my car in for service and I asked about my battery and range during these cold winter months. Here is what Lucid had to say:

Attributes or variables that can decrease driving range:


Driving at constant high speeds (>70mph)
Driving at varying speeds (using cruise control is more efficient)
Driving with headwind (aero drag increases with speed cubed)
Driving up and down grades that cause switching between motoring and regenning
Driving “enthusiastically“ with aggressive acceleration and deceleration
Using HVAC heating excessively can affect efficiency significantly. It’s more efficient to use seat and steering wheel heating.
Running cabin AC in manual mode, rather than auto (controls are balanced and optimized in Auto)
Running cabin AC outside mild conditions (roughly: <10C and >35C or 50F and 95F) (we have made changes that make the AC operate more efficient between 10C and 35C)
Running cabin AC with setpoint outside normal range (<15C and >25C)
Using the brake pedal to slow the car instead of using regen. (All energy from the moving car is lost.)
Driving with Swift or Sprint modes that are not optimized for maximum efficiency. Smooth mode is optimized for maximum efficiency.
Driving a fully loaded car (more mass means more torque to accelerate and more mass requires more energy to move car up hill)
Driving up a mountain (e.g. elevation changes of Bay Area to Tahoe)
Driving twisty roads with loads of steering input (rolling resistance is higher with steer angles)
Driving with low tire pressures (more rolling resistance)
Driving the car in a warm, humid environment, as opposed to warm, dry environment (it takes a lot of cooling energy to condensate water vapor in the air).
Efficiency of the vehicle is suboptimal at the early life of new vehicle. Particularly, optimal efficiency requires approximately 2000 miles of driving to allow the tires and drive units to break-in.

Suggested settings to optimize driving efficiency:


Use ‘Smooth’ mode in the Drive menu
Use ‘Hold’ mode in the Settings/Vehicle menu
Use ‘High Regen’ in the Settings/Vehicle menu (especially for those not used to single pedal driving)
Use ‘Auto’ and ‘Sync’ in the HVAC menu, combined with a 72°F set temperature
For road-trips use cruise control as much as possible
Use heated and ventilated seat options
I also recommend using battery pre-conditioning while the vehicle is plugged into your home charger so it will pull from the grid and not your vehicle battery to warm up the battery during the cold temps",2023-02-01,5.0,,Air GT,90.0
198,Driving Dynamics,Range question,https://lucidowners.com/threads/range-question.520/,Paladin732,Active Member,True,2021-11-21,654,,Taycan,"We just did a round trip of about 250 mi this weekend using mostly cruise control at 70 to see how close to epa we could get.

Ended the weekend with 3.4 (or 89% or the EPA rating assuming 3.4 x 118kwh, 401miles)

The interesting this is when DRIVING the car, we tend to average 2.8-3.0. So ACC on highway driving produces dramatically more efficient usage. This is great for a long road trip, but given how large the range is, doesn’t super matter for general driving.",2022-02-14,5.0,295.0,,
87,General Automotive / EV Talk,Car Wow video - Things that impact your Range and efficiency - from normal driving to towing a trailer,https://lucidowners.com/threads/car-wow-video-things-that-impact-your-range-and-efficiency-from-normal-driving-to-towing-a-trailer.629/,Codyroo,Active Member,False,2022-01-31,243,,,"A nice video on a test track where they take an EV and test items that impact the range and efficiency of the engine/batteries. Items such as towing a trailer, having a bike rack (with or without a bike), a ski rack, running the A/C, heater, heated seats, wiper blades, etc all at the same time and at full volume. 

Food for thought when you read about people's road trips and the efficiency they are seeing. Speed, peripherals, weather, wind, etc all play a factor, some more than others.....





",2022-03-02,5.0,,,
381,General Discussions,It’s All About the Range And Charging Speed,https://lucidowners.com/threads/it%E2%80%99s-all-about-the-range-and-charging-speed.1617/,Slam08,Active Member,False,2022-04-10,557,,2022 Jaguar I Pace,"Eventually people will move away from “gas thinking” where you fill up and the go to empty. Most people with EVs charge at home. Most people drive 50-60 miles per day. Like me. 

I get in my I pace in the morning with 80% charge and 190 miles of range. Go to work. Come home. Take the kids to soccer. Come back home. At the end of the day I’m down to 50-60%. I plug it and it goes back up to 80% the next morning. Rinse. Repeat. That is more what daily living with an EV is. Range and efficiency aren’t that big a deal. I’m fine with 190 miles of range. 

When I drive 300 miles to St Louis this weekend then the 500 miles range of the Lucid really matters! I only take road trips every few months. And even then I could use the money I save on gas and just rent an ICE car if I wanted to make it easy.",2022-06-07,5.0,,,
376,General Discussions,It’s All About the Range And Charging Speed,https://lucidowners.com/threads/it%E2%80%99s-all-about-the-range-and-charging-speed.1617/,DJL,Active Member,True,2022-05-06,609,"Blaine, WA",,"As a country, we have a major educational challenge in front of us. Because of a number of reasons, included the current super elevated gas prices, we are facing a significant shift in the number of people interested in EVs. At first blush, this is a very good thing, however, if we do not start educating the general public on the need to buy EVs based on their anticipated range needs, we are going to see a major shift of opinion against EVs. Most EVs, even with modest range potential, will be great for the day-to-day transportation needs. That is: drive to work or the store or the golf course, drive home and plug in. Repeating this each day works very well. However, given our history with gas fueled vehicles, we just think we can hop into any EV that we use day to day and drive over to grandma’s house in the next state. Well, we can do that but…
The problem is most EVs have limited range and do not charge rapidly. Most do not charge up to 300 miles in 21 minutes the way the Lucid does. Therefore, those people who will take their day-to-day EV on longer trips, will have to charged often and they will have to spend a lot of time waiting for their EV to be charged enough so they can drive on to the next charging station. This scenario will not go over well with a society used to driving for 3 to 4 hours, going 200 to 300 miles and then spending 10 minutes at a gas pump and then continue on.
If you don’t buy into this thought, then just read this article about a reporter who was anxious to drive an EV so she rent it and drove from NO to Chi and back. She rented the wonderful Kia E6 with 310 miles of range and ended up spending more time at charging stations then she slept during the trip. In the end, she longed for her gas guzzler. It is an amusing but sad story and offers a glimmer into what the uneducated, high expectation public will be going through….
To read the article, just click HERE.",2022-06-07,5.0,,,
186,Driving Dynamics,Range question,https://lucidowners.com/threads/range-question.520/,Mountain Man,Active Member,False,2021-12-18,277,,Lucid Air Dream P,I think you should call Lucid. Range is their biggest bragging right currently. They will want to know if there’s an issue.,2022-02-13,5.0,,Air Dream Edition,95.0
98,Charging,Best Practices in Charging and Efficiency,https://lucidowners.com/threads/best-practices-in-charging-and-efficiency.2430/,MikeTz,Active Member,False,2022-01-02,557,"Fort Lauderdale, FL.","Lucid DE, Plaid, Rivian"," Owned EVs since 2013. Sold everyone I owned just before the warranty expires. Plan to do the same with the DEP. My son on the other hand had an early Model S with the 60KW pack and charged it to 90% every time. Sold it 6 years later with 149k on the clock. Battery pack was still delivering around 82% plus of the original numbers. With the latest battery chemistry and BMS systems, a battery pack will easily deliver 1,000 plus charging cycles or 400 k plus miles.",2022-08-31,5.0,180.0,Air Dream Edition,90.0
566,General Discussions,Range,https://lucidowners.com/threads/range.4464/,Shawshankedagain,Member,True,2022-12-21,27,,Lucid Air Touring,Drove 102 miles in smooth at about 70mph avg speed. It used 142 miles of charge if this helps. I also stopped at an electrify America station at a big mall north of atlanta and it connected great but a 150kw station was limited to 50kw which would have taken forever to charge all the way.,2023-01-22,5.0,2082.0,Air Touring,100.0
1228,Driving Dynamics,Lucid Comfort,https://lucidowners.com/threads/lucid-comfort.567/,hmp10,Active Member,True,2020-03-07,2991,"Naples, FL","Model S Plaid, Odyssey","
The front seating and the back seating in the Air are two different kettles of fish.

The front seats are among the most comfortable I have ever found in a car. The adjustment range is immense, the leg room goes on forever, the extending thigh supports are killer comfortable, the padding density is just right for long and short hauls, and the massage function is very well executed.

My opinion of the rear seating is more complicated. I was so taken with Lucid's early claims about rear seat comfort on a par with large German luxury sedans (with which I had a lot of experience) that I was shocked on my first visit to a Design Studio to find my knees jacked up in the rear seat as much as in my Tesla, short though I am. I became so focused on this that I did not really absorb how much fore-aft legroom there was in the rear.

My view began to soften after driving over to Miami for a second visit to the Design Studio, this time with a 5'11"" friend in the back seat of our Tesla Model S. He found the back seat of the Air to be quite comfortable and said it was a vast improvement over the Tesla. At that point, I decided that other aspects of the car were compelling enough that I would live with the disappointment in the rear seats.

Our next trip to a Design Studio was to West Palm Beach, where the display car had the smaller battery pack. Now that was the rear seating position I had hoped for in the Air -- every bit as comfortable as my personal benchmark for rear seat comfort, the BMW 7 Series. But, being a power junkie, I accepted that I'd have to live with the Dream's rear seating.

Now that we've been driving the car for several weeks and carrying all manner and sizes of friends in the rear seats, we've yet to find anyone who has anything other than praise for the rear seating comfort. I've been very pointed in telling them about my own disappointment in the rear seating and really urged them to be candid in giving their assessments. Everyone has assured me the seats are fine, to the point that I no longer get in the back seat as I do in our Tesla to spare them the tight packaging. I have ridden in the back seat of the Air a few times just so friends could experience the amazing comfort of the front seats, and I have been surprised by how comfortable I actually find the rear quarters myself.

I've concluded that my initial reaction to the rear seats was born of the shock of dashed expectations between Lucid's hyperbole about rear seating in the ""space concept"" and the reality of what battery modules under the floorpan entailed.

In living with it now, I find the ""space concept"" is a real thing. The fore-aft legroom front and back is simply amazing, as is the almost inexplicable width of the cabin, and the general airiness of the cabin.",2022-02-21,5.0,154.0,,
963,Photos / Videos / Reviews,Motortrend reviews the Touring,https://lucidowners.com/threads/motortrend-reviews-the-touring.4348/,emoylv,Active Member,False,2022-05-25,239,"Las Vegas, NV",2008 Dodge Challenger SRT,"I live at the end of a cul-de-sac. I took my neighbor for a drive down to the beginning of the street and hammered it. Although my test drive was in September with a GT, I'd swear I felt the same neck-snapping torque in the Touring. I had to go to the back seat and sit in it to convince myself that I didn't accidentally get a free upgrade. The article does point out that there's a drop in weight due to less battery capacity and the resulting handling difference. My only ""wish"" was more range, but the Touring has plenty for me driving mostly in town. I have a road trip scheduled early next month for a 280-mile drive to Palm Springs to test my range anxiety. Very happy so far with my purchase. It was worth the 2-year + 2-week wait.",2023-01-12,5.0,,,
584,General Discussions,300 Mile Road Trip: Impressive Efficiency!,https://lucidowners.com/threads/300-mile-road-trip-impressive-efficiency.4689/,Bobby,Staff Member,True,2022-04-11,1893,Poway (San Diego),"AGT, I Pace, DB9","
Some responses to your questions:

Weather: yes, the weather in San Diego and the surrounding area is ideal for EV drivers. I definitely don't live here by mistake!

You asked my departure mileage: I'm not sure what you mean here. Do you mean what was my efficiency prior to departure? I typically see about 3.0m/kWh but then I do drive the car fairly aggressively and Southern California is very hilly. If are were wondering how many miles are on the car, it's slightly over 5000. If you are asking what the indicated miles remaining was on the car when I left, that would be 469 at 100% charge. That number is based on the EPA range. It is well known and frequently discussed in this forum that many, including myself, wish the car would calculate range based on actual driving history and other factors, not some meaningless EPA number. If you look at the recent Mega Poll, you will see many votes for that to be included in a software update.

My remaining range on arrival at the destination: according to the car, about 300 indicated. Again, this is based on EPA and I don't use it in my calculations. I figure my actual remaining mileage was about 230-240 if I drained the battery completely, which I would never do.
My remaining mileage on arrival home: about 80-90.

I mentioned in the video that the ambient temperature range was between 64 and 74° and so the air conditioning was on and set at 70, but not doing a whole heck of a lot.

I have never had my Lucid back to a Service Center, which is about 80 miles away. Service visits that I have had were done via the mobile service and I have been very satisfied with that. I do hope that a full service center is installed here in San Diego in the near future because we have many owners and over time we will have a greater need for it.

Thank you for the information about the BMW i4 in the Kia EV6. Those are both vehicles that do not compete in the same space as the Lucid Air, so I did not really consider them as options to this car. This does not mean they are not excellent vehicles, they just did not fit my needs and desires. The vehicles I did consider as options were the EQS, the eTron/Taycan, and the Model S Plaid. I tested of each of these and concluded that the Lucid Air is head and shoulders better than any of them FOR MY NEEDS which involves frequent round trips to Los Angeles (320 miles) to visit an ill and housebound family member. None of the cars tested except the Testa can make this trip without charging, and I am not a fan of Tesla. The BMW and Kia can't make that trip either. I have owned a non-Tesla electric vehicle since 2018 and, as such, am well aware of the challenges faced by drivers using the public charging infrastructure. The desire to make that round-trip without charging factored heavily into my decision and effectively eliminated any other EV available at this time.",2023-02-12,5.0,,Air GT,90.0
424,Charging,AC Preconditioning Impact on Range,https://lucidowners.com/threads/ac-preconditioning-impact-on-range.1172/,Steveinarizona,Active Member,False,2022-01-14,1564,Scottsdale Arizona,Genesis GV60 Performance,"When I play golf in the summer I take out my phone and precondition the interior after the 17th hole on my BMW 530e. Works great doing that. By the time I finish and get to my car, it is always comfortable despite temperatures north of 110.

But that is another reason why a large range is important...at least to me.",2022-04-26,5.0,,,
1193,General Discussions,New Touring,https://lucidowners.com/threads/new-touring.4499/,jpcornett,New Member,False,2022-07-12,14,,Lucid Air Grand Touring,"I have used Electrify America in Pittsburgh/Cranberry and had great results couple times. When I'm on road I always go for 350KW charger. Have not had many problems with EE/Volkswagen when one device is not working just grab another, and call them. After first time it connects to you it recognizes you easily thereafter is my experience",2023-03-02,5.0,,Air GT,100.0
848,General Discussions,Touring Delivery and Initial Impressions,https://lucidowners.com/threads/touring-delivery-and-initial-impressions.4312/,Bnwbaron,Member,True,2022-10-17,81,,Touring,"Hi, all.

Posting this for whatever it might be worth to the community. My advisor called me on 12/31/2022 and said he had a Touring for me. I had previously canceled my old Touring order and kept my Air order because the 2022 Touring deliveries HAD to come with bubble top, DDP, and SSP…..none of which I really wanted. The deal on 12/31 was that I get the Touring at my legacy pricing, a 90 trial of DDP/SSP (I have to pay to keep, which I wont), but I am stuck with the bubble top. The color and interior were good, so I did it. I got legacy pricing plus the $7,500 tax credit for taking deliver at 9pm on New Years Eve.

For those buyers nearing delivery. Search this site for the four page delivery checklist. That list was awesome. I have some very minor items for correction, so keep an eye out when you get your car—A squeaky window shade, the left rear seat doesn’t heat up much, and a small section of loose trim inside two wheel wells. All the panels lined up and everything else seemed tight. For ~100k, I would expect none of the issues I described, but for a new car company…..not bad. 

The car has been in my garage for eight days. I have hardly driven it (25 miles), but I have played with it a lot. I have to say….I pretty much love it. Drives and handles like a dream. I have some irritation with me having to figure out the tech, but that is on me and not Lucid. One issue with the tech is how the car deals with reverse on a hill, and I’m working that out. Electrify America charging near me stinks, but with the range of this car, it’s not a major issue (my feelings may change after my first road trip). 

Something bugging me is the mobile key. Most of the time when I walk in the garage (usually to get a water or do laundry) the car presents the handles and opens the mirrors. Today, I actually wanted to get in the car, and no matter how hard I tried, I couldn’t open the car with my cell phone :/. The fobs and cards seem to mostly work. Although, one of the fobs needed a new battery two days after I got it, and today I got a message saying the Lucid couldn’t connect the fob, which was in the car, but the car sorted that out in a few seconds. Makes me wonder if the fobs are bad.

Next step for me is to get a wrap or PPF. To help you budget, wraps in So. Cal. Seem to be running about 4K, and PPF is about 7k. I was pretty shocked by the cost of PPF.

All in all, this car is awesome and I am glad I bought it. No shade on Tesla, but I‘m glad I went Lucid-it is fresh. The Touring is a beauty.",2023-01-08,5.0,,Air Touring,100.0
964,Photos / Videos / Reviews,Motortrend reviews the Touring,https://lucidowners.com/threads/motortrend-reviews-the-touring.4348/,off,Member,False,2022-12-06,36,,MBZ E400 Estate Audi Q5e,"These performance numbers bode well for the Pure. Looks like every Air will get to 60 in less than four seconds, and even the RWD one will do a sub 13 second quarter!",2023-01-12,5.0,,,
797,Charging,Average mi/kwh,https://lucidowners.com/threads/average-mi-kwh.1299/,Bus Driver,Active Member,True,2022-04-17,712,Chula Vista CA,"Tesla MX, MS; Air GT","
Thank you for this. This is exactly what I needed to see. My weekly commute for work is from Chula Vista to LAX. A round trip of 285 miles, at which I normally set cruise control at 80 mph. Plus, I leave my car uncharged and unplugged at LAX for anywhere from 2 to 5 days. It would be REALLY nice if I could do my weekly commute without ever stopping to charge.",2022-05-09,5.0,,Air GT,90.0
1136,Charging,Great video explaining charging,https://lucidowners.com/threads/great-video-explaining-charging.4387/,Bob Lahblaw,Member,True,2022-08-21,98,OH,2022 AGT R,"Excellent vid. Thanks for posting.
I laughed out loud at, “If you want to see a broken charger in person, go to your nearest Electrify America….”",2023-01-14,5.0,,Air GT,90.0
696,Photos / Videos / Reviews,Car and Driver Tested: 2023 Lucid Air Touring Hits the Sweet Spot,https://lucidowners.com/threads/car-and-driver-tested-2023-lucid-air-touring-hits-the-sweet-spot.4713/,Wait4Perfection,New Member,False,2022-11-17,19,,,"

Car and Driver has the Lucid Air at the top of the class for luxury EVs (9 out 10).

PUBLISHED: FEB 8, 2023",2023-02-12,5.0,,,
734,General Discussions,Now I understand,https://lucidowners.com/threads/now-i-understand.4213/,Artemis,Member,False,2022-10-31,34,,,"I'm always very confused when people say the air looks like a honda accord, toyota camry, buick, lincoln etc. I've looked over an over again and I see zero similarities between these cars and lucid's design. The only thing similar I've been able to find is the headlights on the honda accord, but that's a stretch already. Maybe I'm missing something 🤷‍♂️. I find lucid's design incredibly unique for its beautiful simplicity but elegant aggressiveness; all the other automaker's concept for a futuristic car is something that looks like it was punched in the face and with a billion headlights on it. The only car I find remotely similar to the lucid is the gold Citroen DS, especially the rear quarter.",2023-01-02,5.0,,,
780,Driving Dynamics,My best efficient yet! (94% EPA AGT21”),https://lucidowners.com/threads/my-best-efficient-yet-94-epa-agt21%E2%80%9D.2269/,Bunnylebowski,Active Member,True,2022-03-22,2353,,"Air GT Black/Tahoe/19""","I decided to do a different type of range test, charge to 100% and drive close to zero but do it over many days. The point is that while we all love our road trips, I think it’s most useful to know efficiency for commuting/errands/day trips, which is basically 90% of how the car is actually driven. I’m going 5mph over whatever is the posted speed limit. Unfortunately I have a short commute so this test is gonna take forever. Range tests always are driven continuously, which kind of is rigged in favor of maximum range since there’s very little acceleration involved once you get up to speed, whereas with what I’m doing it’s very frequent acceleration and deceleration due to lights, stop signs, traffic, elevation changes, with a mix of highway and suburban road speeds, etc. I’ll report back when I’m done, could take a couple weeks!",2022-09-22,5.0,,Air GT,90.0
647,General Discussions,Lifetime miles per kw,https://lucidowners.com/threads/lifetime-miles-per-kw.4072/,HariK,Active Member,True,2022-05-11,1002,"Fremont, CA","Pure,LS430 Ocean Extreme","I am leaving trip B untouched to match the odometer for now. At 780 miles I see 3.6 miles per KWh. 
Did anyone try to capture that? That is true indicator for each of us based on our driving style.",2023-02-18,5.0,,Air Pure,90.0
1419,General Discussions,"1,000 Mile Review - Outstanding Vehicle...But",https://lucidowners.com/threads/1-000-mile-review-outstanding-vehicle-but.2509/,LuciPearl,Member,False,2022-03-11,96,"DFW, Texas",Air Grand Touring,"Having just reached 1000 miles I thought I'd offer my thoughts on the Air. No need to go over features etc as those things are covered in other posts. They are also covered in youtube and other reviews. This is simply to give my thoughts on new learnings I've had actually owning the vehicle that perhaps weren't covered enough in reviews.

Delivery Quality - I was prepared for many of the issues I had read about here. As I went through the checklist provided on this site I was impressed with the finished product. I found two items, both in the drivers seat. The left side bolster was not working....right side worked, left side did not. The lumbar support worked when using the buttons on the left side of the seat, it did not work when using the pilot panel. While I was impressed with fit and finish I'm not the best person to evaluate that. Days after receiving the car I brought it in for tinting and ppf on the front facing components of the car. The professionals were impressed with the finish, both the surfaces they placed the ppf and around the entire car.

People - It has been mentioned by others, I just did not think there would be so many people who want to talk about the car or take pictures of it. It was nice at first, it is now bothersome. Though it was amusing as I approached a stop sign and to my right was a couple leaving a restaurant. I could read her lips as she said ""What the **** is that?""

Canopy - I love the canopy. In the couple of days before a ceramic tint was applied the DFW weather was 105 degrees and sunny. I'm 6'4"" and probably closer to the canopy than most people. I could feel the heat on this bald head. However, once the tint was applied, it works beautifully! No more hot head for me. Many people here in sunny hot climates are not bothered by the canopy heat, I was. If you are tall be aware you might be deciding to get the canopy tinted. I added the tint everywhere and it looks great with the black paint....but the big reason for the tint was the heat.

Service - Unfortunately I've discovered the service is very responsive. I've discovered it because the vehicle is currently at a service center for a 12V battery issue (reported in detail by me elsewhere on this board). While I'm not happy with this event, I am impressed with the service.

Drive/Ride - I also have a 2015 S Class, a beautiful vehicle with more than 140K miles. I have wavered back and forth on which is the better riding vehicle, but I give the edge to the Air. It simply feels more in touch with the road without the floaty-ness of the S Class. The Air does have 19"" wheels that contributes to the ride quality. I suspect if I had the 21"" inch wheels I might conclude the S Class is the better ride. I honestly can't speak with authority on drivability from a sports car perspective as I have not adequately tested the Air, nor will I. At 68 years old I'm not into 0-60 times or carving through mountain roads at a relatively high speed; wherever I am you will find me about 5% below the posted speed limit.

Efficiency/Range - Through 1000 miles I'm getting 3.8 mi/kWh. Probably not a surprise given my typical speed. Love the range given our frequent road trips. No range anxiety at all.

Fast Charging - This is more about Electrify America than it is Lucid. I've used two EA sites, Denton TX (3 times) and Round Rock TX (twice). I hate the Denton site because of the position of a curb that is there. Denton is also not the site to be at on a Saturday afternoon, far too crowded on my one Saturday visit. I've also had to move the car a couple of times to find a working charger. I love Round Rock, many stalls. Overall I'm pretty pleased with EA and would feel confident on a long road trip. But I recognize my sample size is small and on a long trip I could encounter some difficulties.

Interior - Comparing to the S class there is a big difference in the interiors. I love the relative simplicity of the Air interior and its materials, my wife prefers the wood of the S Class. For both of us the learning curve for the Air panels has not been significant, a pleasant surprise for both of us. We both agree it is much simpler than the multiple layers in the S Class.

Entertainment - Not good now. I miss my Sirius XM news and sports more than I thought I would.

Would I Buy It Again - This is the But in the title. This is truly an outstanding vehicle, I love it. But, I should not have bought the Air. It is not the Air's fault, it is mine. I'm soon to be 69, I'm 6'4"" and 290 lbs on a good day, I have arthritis, and a history of back problems. This was my #1 concern when buying the car. But my love for all the engineering and bi-directional charging, in combination with a couple of reviews where people approximately my size didn't have a big concern about ingress/egress, I felt confident I could modify my method for entry/exit to have no impact on me. Initially I thought I was right......enter the vehicle bottom first, slide bottom back in the seat toward the passenger, tilt head toward B pillar, slowly duck and enter, swing feet into the vehicle. Reverse to exit. My wife cringes watching me. Once in the car there is so much room that I quickly forget the entry issue. But I am starting to feel it in my back and I'm concerned about a repetitive stress injury to my lower back. Younger people my size may not have an issue. but this aging body does. Around the 300 mile mark I got on the Gravity reservation list as an option in the event I was later bothered by entry/exit. By 1000 miles I knew I'm getting the Gravity. So I considered my options....do I keep the Air I and hope I have no issues until the Gravity comes out....or do I sell the Air and keep this old S Class until the Gravity comes out. It is going to be sold. I caution larger people....and older people whose flexible days are past them, get to a Sales Studio. I wasn't going to drive 4 hours to my nearest one, I should have. 

That's it. Stay healthy everyone!",2022-09-07,5.0,,Air GT,100.0
719,General Discussions,Now I understand,https://lucidowners.com/threads/now-i-understand.4213/,NoseyReporter,Active Member,False,2022-04-24,133,,,"The car is stunning. I see a few around the SoCal SGV area and every single time it gets me. Sometimes I'm in my own car and other times I'm riding my bike, but literally every time I find myself starring. 

I have yet to see one at night though, I bet they look so cool when all you can see are the outlines of the headlights or taillight.",2023-01-01,5.0,,,
716,General Discussions,Now I understand,https://lucidowners.com/threads/now-i-understand.4213/,Mawashi Geri,Active Member,False,2022-01-07,142,,2023 Air Grand Tour,"I have read about it but really did not fully comprehend how the Lucid AGT turns heads. I took issue of it on Dec 13th. Have not had much wheel time because of bad Northwest weather and do not want to drive it much before the full wrap scheduled in January. 

That being said, I went for a drive today. First went for a coffee. Not even two miles from my house and I had heads turning looking at the Lucid. My other half was with me. She just laughed about how the group of admirers just stopped dead in their tracks and walked backwards looking at us drive away. No more than ten minutes later I was in Issaquah stopped in the left turn lane. I did not see it but a new Tesla Plaid S came up to me in the right lane, stopped and acknowledged his approval of the Lucid. Again, my other half just laughed. She thought I purposely left a gap behind the car in front of me to be where the Tesla would be stopping. This car does turn heads. I am now understanding what others have posted about. A fun drive.",2022-12-31,5.0,,Air GT,95.0
514,Ordering / Pricing / Production / Delivery,In production,https://lucidowners.com/threads/in-production.4924/,Drendino,Active Member,True,2022-04-07,1330,,Grand Touring,"Sorry, I haven’t followed any of the timelines since I received my car. When I ordered my AGT, I received it within 2 months of receiving my initial delivery estimate. Those who ordered before me experienced more delays. 

I was so pleased with my delivery experience that I won’t hesitate to order a Gravity if I approve of the price. Lucid is one of the few EV startups that actually delivers within a reasonable range of the estimated delivery window.",2023-03-03,5.0,0.0,Air GT,100.0
102,Charging,Best Practices in Charging and Efficiency,https://lucidowners.com/threads/best-practices-in-charging-and-efficiency.2430/,Bunnylebowski,Active Member,True,2022-03-22,2353,,"Air GT Black/Tahoe/19""",I’m not worried about battery degradation. If the battery degraded by 40% it would still have better range than a Taycan and still be faster and charge faster. What I’m worried about is battery FAILURE. So if plugging in every night reduces the likelihood of that then I’ll plug in every night. Otherwise I’ll just DCFC a fair amount because it’s free but use home L2 sometimes when I’m not gonna have time to go to a DCFC the next day but need range.,2022-09-02,5.0,,Air GT,90.0
447,Charging,SURVEY: Stated Range When Charged to 100%,https://lucidowners.com/threads/survey-stated-range-when-charged-to-100.1108/,GEWC,Active Member,True,2022-01-09,468,"Los Gatos, CA",Grand Touring,So true. I rely on estimated percent to a destination a lot in my Model S. This would be very handy to have.,2022-04-29,5.0,,Air GT,100.0
779,Driving Dynamics,My best efficient yet! (94% EPA AGT21”),https://lucidowners.com/threads/my-best-efficient-yet-94-epa-agt21%E2%80%9D.2269/,Snafu,Active Member,False,2022-06-11,219,NH,"2000 RAV4, AGT/Zen Red","I typically charge to 80% - no long trips as yet. The one time I tried to extrapolate out from the amount of miles driven plus the ""remainder"" left on the range and the percentage of battery to a 100% battery, it showed 521 miles... but again, that was me driving in ""Miss Daisy"" mode. I know better than to expect perfect results. If I can manage 480 or so, that suits me fine.",2022-09-22,5.0,,Air GT,90.0
193,Driving Dynamics,Range question,https://lucidowners.com/threads/range-question.520/,Steveinarizona,Active Member,False,2022-01-14,1564,Scottsdale Arizona,Genesis GV60 Performance,"
I was driving today on a multilane highway. I set my cruise control for 77 and I would say that 95% of the cars passed me and some blew by me. Even testing at 70 MPH is not realistic and I would not buy a car with 480/620/1100 HP and then hypermile it.

I want the large range because I want to drive the car like I hate it; I do not want to baby it to save range.",2022-02-13,5.0,,,
